view,like,danmaku,reply,favorite,coin,share,point
1545937,75002,22876,7182,33267,58087,72278,1406280
1467705,91860,14458,5552,7010,37188,1571,1133581
1070134,59446,4574,1772,30514,10502,6450,1041060
1332496,33540,3389,7011,9734,12041,31379,997047
1435778,100921,11075,3633,11443,44406,1217,996377
1230428,65633,32319,4222,3523,16378,1286,900912
1143197,30097,4068,7243,7200,10448,31756,899144
1161790,71247,2244,2925,8247,33948,9452,815625
897719,40687,1908,734,16742,24300,11454,773630
1051974,41541,5934,3045,2672,14474,1892,721534
771030,67036,7380,2113,9853,30430,1145,679007
1023387,20879,979,649,7987,3494,963,671054
513243,63861,4922,3820,15373,47019,1360,667426
733553,32558,388,997,11952,3430,9097,616158
620470,53771,3348,1081,14426,36922,4299,612224
560182,91923,3248,2445,12545,151152,714,565520
678727,23101,5322,842,4248,13534,946,561219
616914,57697,3083,1762,9538,14987,5839,548943
719007,551,2779,4396,7,8855,619,533889
432621,45972,2661,1129,16296,47200,674,528417
553751,84969,4568,1355,9122,60088,1707,502857
576903,64665,1244,1019,9226,69143,769,497195
363045,22232,637,434,16983,11597,609,472126
578010,39512,5028,1077,4313,24119,2959,469191
426143,18146,6288,2272,5368,17181,3200,456968
332247,40106,4350,1460,16276,52342,1084,454335
362711,10943,23450,4663,1831,4833,1650,451069
582329,26746,1975,1707,2087,3443,659,450308
516060,14112,2492,1134,7768,7862,8902,449407
455845,29090,13737,1418,3714,16120,894,446995
537485,30215,841,838,5081,20918,1238,425743
421209,15653,1075,719,11429,5041,6241,422799
404781,21702,4038,1079,7153,15176,2442,421623
810348,5375,1154,2436,2013,518,12912,412154
344488,27440,4469,1255,8321,12999,2664,410936
402873,30422,4328,1515,6593,18871,1096,407352
459428,33474,5047,1136,5327,11205,788,407029
281742,37668,1699,1494,14937,35114,2155,404830
484613,43995,4815,1182,3425,15774,681,399344
469080,27987,1609,1372,3904,10556,828,397811
338136,19105,3516,2150,10099,15744,3194,395160
401967,41843,4274,2151,6338,61502,446,387007
443599,50583,7431,1721,4548,14003,480,383460
443042,8237,1656,728,6360,2507,7950,383045
424004,11792,1072,1874,5355,984,5185,377574
189022,22009,456,858,17065,26065,2249,372712
401401,34145,2783,721,6395,22968,2836,371486
414733,15867,11398,1913,3245,9964,1966,367696
261763,26733,1183,781,8813,21210,1037,353412
477888,37057,2490,829,2750,7269,1402,353005
314679,23625,1580,683,9494,8902,4974,351153
432056,27231,1590,696,3233,13976,1136,346519
299675,35199,5068,1963,8650,44096,1157,342015
275182,8269,252,538,9484,5380,396,336915
280399,14933,7112,2743,3360,6474,3151,326569
492916,15473,1093,885,944,2462,1235,326249
108661,7849,433,372,16147,8292,273,321152
264128,25186,2335,1480,8532,29949,1601,320608
275049,19990,431,651,8618,6847,2531,315518
265374,13665,5239,1011,5556,10657,1007,313003
252334,15374,5107,1411,5936,9374,2562,312491
340194,32877,6719,1136,3463,9970,2005,304167
220515,17320,5056,1187,7674,11136,1802,303320
332184,14108,1370,1282,3934,15355,619,303287
401555,18962,336,796,3072,1603,486,302177
349808,22390,3699,1369,3784,5643,894,301790
310654,15574,818,680,6534,14598,4900,297791
237974,25521,1630,1313,8223,10556,2463,297396
147655,27351,2234,1613,12991,37713,3820,293404
609055,11861,494,956,2702,522,3055,290145
311160,11878,284,363,6260,2112,3160,284027
325633,18845,1389,1336,2000,6654,1114,275874
236396,16069,1355,1720,4418,15455,1047,257163
287507,8550,380,721,4431,5780,7933,255552
275758,5080,139,817,4319,1485,6889,245923
370783,15234,686,562,722,3349,202,245838
808502,11406,458,950,1452,2397,474,244565
292061,12380,2090,334,1227,7952,291,244200
174040,13306,675,484,8634,8487,2638,240591
202408,16183,324,406,7178,9059,744,240502
291255,4682,36,163,4451,841,5032,239761
326924,18661,1575,741,1291,2892,542,238729
173546,11148,2550,2656,6493,5846,5215,238283
265618,8437,743,1471,1765,7522,4911,232815
216863,6149,2040,3976,1223,1619,845,232049
296182,5619,701,2154,946,537,7458,231577
256969,7098,1191,1823,1550,2726,255,231218
